XYZ Points Summary (22/04/2017 6:26am)
Project Name: C:\Users\jyun\Desktop\stick_photo\stick.aus
______________________________________________________________________________________________________

       Quick Summary
    Number of Points: 367
    Number of Images: 26

Sightings
                                 Point Coordinates                       Standard Errors                           #
               Label           X              Y              Z         SX        SY        SZ     RMS xy(µm)  Rays
            WONB13_1         8.6231         8.5850        -0.0971    0.0329    0.0324    0.0490   1.002        23
            WONB20_3        50.7149       170.4786        47.9779    0.0299    0.0293    0.0428   1.123        25
              WONB13        -0.0000         0.0000         0.0000    0.0342    0.0338    0.0523   1.096        21
           WONB13_B1        -0.0000         8.5855         0.0000    0.0339    0.0335    0.0518   0.999        21
            WONB13_5        -8.6439        -0.0540        -0.2450    0.0358    0.0346    0.0547   0.882        20
          WONB13_B11       -13.9707        -6.7880        -0.4658    0.0348    0.0343    0.0530   0.980        21
           WONB13_B5       -11.3847         8.0955        -0.3972    0.0341    0.0338    0.0524   1.054        21
            WONB32_3        -9.9217        97.2292        -0.0232    0.0329    0.0341    0.0589   0.934        20
            WONB32_2       -15.2844       103.9501        -0.2655    0.0315    0.0333    0.0555   0.838        21
              WONB32       -21.9805        98.6196        -0.5044    0.0319    0.0335    0.0543   0.789        21
          WONB32_B12       -25.8846        85.1704        -0.5147    0.0320    0.0336    0.0545   0.887        21
            WONB32_1       -20.5952       110.6426        -0.2289    0.0322    0.0337    0.0574   0.979        20
            WONB32_5       -28.7090        93.2553        -0.7868    0.0313    0.0321    0.0508   0.869        23
           WONB32_B1       -27.3053       105.2948        -0.4306    0.0321    0.0342    0.0564   0.829        20
           WONB32_B8       -36.4436        89.5695        -1.0070    0.0318    0.0336    0.0547   0.935        21
           WONB37_B1       -23.8638       193.4329         1.2329    0.0345    0.0352    0.0560   0.766        20
            WONB37_1       -27.6270       185.7877        -0.0693    0.0355    0.0364    0.0610   0.751        18
            WONB37_5       -27.7535       204.9004         1.3269    0.0359    0.0379    0.0611   0.664        18
           WONB37_B9       -25.8016       213.2274         0.9479    0.0370    0.0399    0.0672   0.666        16
              WONB37       -31.5528       197.2514         1.0253    0.0361    0.0376    0.0615   0.784        18
